year,round,gp,url,compounds_raw,hard,medium,soft,snippet
2022,1,Bahrain Grand Prix,https://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,"C1, C2, C3, C4",C1,C2,C3,"eel diameters increased from 13 inches to 18 inches; as a result, tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,2,Saudi Arabian Grand Prix,https://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,"C2, C3, C4",C2,C3,C4,"16 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,3,Australian Grand Prix,https://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,"C2, C3, C5",C2,C3,C5,"36 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,4,Emilia Romagna Grand Prix,https://en.wikipedia.org/wiki/2022_Emilia_Romagna_Grand_Prix,"C2, C3, C4",C2,C3,C4,"13 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,5,Miami Grand Prix,https://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,"C2, C3, C4",C2,C3,C4," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,6,Spanish Grand Prix,https://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,"C1, C2, C3",C1,C2,C3,"12 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,7,Monaco Grand Prix,https://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,"C3, C4, C5",C3,C4,C5," 4 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,8,Azerbaijan Grand Prix,https://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,"C3, C4, C5",C3,C4,C5," 3 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,9,Canadian Grand Prix,https://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,"C3, C4, C5",C3,C4,C5," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,10,British Grand Prix,https://en.wikipedia.org/wiki/2022_British_Grand_Prix,"C1, C2, C3",C1,C2,C3," 5 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,11,Austrian Grand Prix,https://en.wikipedia.org/wiki/2022_Austrian_Grand_Prix,"C3, C4, C5",C3,C4,C5," 7 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,12,French Grand Prix,https://en.wikipedia.org/wiki/2022_French_Grand_Prix,"C2, C3, C4",C2,C3,C4," 8 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,13,Hungarian Grand Prix,https://en.wikipedia.org/wiki/2022_Hungarian_Grand_Prix,"C2, C3, C4",C2,C3,C4," 5 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,14,Belgian Grand Prix,https://en.wikipedia.org/wiki/2022_Belgian_Grand_Prix,"C2, C3, C4",C2,C3,C4,"26 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,15,Dutch Grand Prix,https://en.wikipedia.org/wiki/2022_Dutch_Grand_Prix,"C1, C2, C3",C1,C2,C3," 5 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C1, C2, and C3 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,16,Italian Grand Prix,https://en.wikipedia.org/wiki/2022_Italian_Grand_Prix,"C2, C3, C4",C2,C3,C4,"12 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C2, C3, and C4 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
2022,17,Singapore Grand Prix,https://en.wikipedia.org/wiki/2022_Singapore_Grand_Prix,"C3, C4, C5",C3,C4,C5," 8 ] Tyre choices [ edit ] Further information: Formula One tyres Tyre supplier Pirelli brought the C3, C4, and C5 tyre compounds (designated hard, medium, and soft, respectively) for teams to use at th"
